date,AverageTemperature
1877-10-01,9.767
1877-11-01,12.02
1877-12-01,13.489
1878-01-01,12.939
1878-02-01,13.444
1878-03-01,13.181
1878-04-01,11.398
1878-05-01,7.1450000000000005
1878-06-01,5.805
1878-07-01,4.948
1878-08-01,5.2589999999999995
1878-09-01,9.445
1878-10-01,10.155
1878-11-01,11.933
1878-12-01,14.229
1879-01-01,14.390999999999998
1879-02-01,13.472999999999999
1879-03-01,13.642
1879-04-01,10.003
1879-05-01,9.077
1879-06-01,5.224
1879-07-01,4.535
1879-08-01,5.725
1879-09-01,9.076
1879-10-01,9.982
1879-11-01,11.68
1879-12-01,13.656
1880-01-01,15.017999999999999
1880-02-01,15.749
1880-03-01,14.229
1880-04-01,11.858
1880-05-01,8.812999999999997
1880-06-01,5.8389999999999995
1880-07-01,5.832999999999998
1880-08-01,6.412999999999999
1880-09-01,9.146
1880-10-01,9.8
1880-11-01,12.826
1880-12-01,13.238
1881-01-01,13.436
1881-02-01,15.383
1881-03-01,14.014
1881-04-01,11.748
1881-05-01,8.883000000000003
1881-06-01,6.539
1881-07-01,5.778
1881-08-01,6.351999999999999
1881-09-01,8.360999999999999
1881-10-01,9.41
1881-11-01,11.401
1881-12-01,13.108
1882-01-01,14.126
1882-02-01,13.444
1882-03-01,14.231
1882-04-01,11.105
1882-05-01,7.771
1882-06-01,6.4220000000000015
1882-07-01,5.481
1882-08-01,5.441
1882-09-01,8.677999999999999
1882-10-01,8.746
1882-11-01,10.966
1882-12-01,14.169
1883-01-01,15.434
1883-02-01,15.787
1883-03-01,13.979
1883-04-01,9.604
1883-05-01,8.177
1883-06-01,6.197
1883-07-01,4.97
1883-08-01,6.379
1883-09-01,6.853999999999999
1883-10-01,9.132
1883-11-01,10.106
1883-12-01,11.922
1884-01-01,12.255999999999998
1884-02-01,13.112
1884-03-01,12.164
1884-04-01,9.691
1884-05-01,6.739000000000001
1884-06-01,5.5539999999999985
1884-07-01,5.178
1884-08-01,6.487
1884-09-01,7.778
1884-10-01,8.875
1884-11-01,10.142
1884-12-01,12.403
1885-01-01,13.21
1885-02-01,14.474
1885-03-01,13.335999999999999
1885-04-01,9.944
1885-05-01,7.282999999999999
1885-06-01,6.518
1885-07-01,5.189
1885-08-01,6.1610000000000005
1885-09-01,7.59
1885-10-01,9.198
1885-11-01,11.202
1885-12-01,12.664
1886-01-01,14.255
1886-02-01,15.524
1886-03-01,13.267
1886-04-01,11.331
1886-05-01,8.238
1886-06-01,4.715999999999998
1886-07-01,4.46
1886-08-01,5.042
1886-09-01,7.398
1886-10-01,9.153
1886-11-01,11.832
1886-12-01,12.818
1887-01-01,16.793
1887-02-01,15.663
1887-03-01,14.595999999999998
1887-04-01,11.429
1887-05-01,7.324
1887-06-01,5.87
1887-07-01,5.157
1887-08-01,5.3729999999999976
1887-09-01,7.126999999999999
1887-10-01,9.174
1887-11-01,10.31
1887-12-01,12.625
1888-01-01,14.359000000000002
1888-02-01,13.489
1888-03-01,12.733
1888-04-01,9.484
1888-05-01,7.404
1888-06-01,5.954
1888-07-01,5.013
1888-08-01,6.484
1888-09-01,7.6759999999999975
1888-10-01,9.553
1888-11-01,9.323
1888-12-01,11.565999999999999
1889-01-01,15.582
1889-02-01,14.903
1889-03-01,13.275
1889-04-01,10.615
1889-05-01,8.076
1889-06-01,4.558
1889-07-01,4.731999999999998
1889-08-01,5.669
1889-09-01,8.327
1889-10-01,10.191
1889-11-01,11.158
1889-12-01,14.095999999999998
1890-01-01,13.669
1890-02-01,15.190999999999999
1890-03-01,13.270999999999999
1890-04-01,11.743
1890-05-01,7.38
1890-06-01,6.095
1890-07-01,4.849
1890-08-01,6.335
1890-09-01,8.481
1890-10-01,10.394
1890-11-01,11.297
1890-12-01,13.835
1891-01-01,14.073
1891-02-01,14.164
1891-03-01,13.485999999999999
1891-04-01,10.465
1891-05-01,7.3439999999999985
1891-06-01,4.026
1891-07-01,4.35
1891-08-01,6.206
1891-09-01,8.632
1891-10-01,10.327
1891-11-01,11.744000000000002
1891-12-01,14.527
1892-01-01,14.108
1892-02-01,14.65
1892-03-01,13.994000000000002
1892-04-01,11.067
1892-05-01,7.841
1892-06-01,6.194
1892-07-01,5.372000000000001
1892-08-01,7.069999999999999
1892-09-01,7.876999999999999
1892-10-01,9.307
1892-11-01,13.263
1892-12-01,13.159
1893-01-01,14.567
1893-02-01,14.332
1893-03-01,11.894
1893-04-01,11.109000000000002
1893-05-01,9.095
1893-06-01,5.602
1893-07-01,5.822
1893-08-01,7.5859999999999985
1893-09-01,8.753
1893-10-01,11.414
1893-11-01,13.156
1893-12-01,12.659
1894-01-01,15.632
1894-02-01,15.237
1894-03-01,13.284
1894-04-01,9.97
1894-05-01,7.625
1894-06-01,6.03
1894-07-01,5.166
1894-08-01,6.105
1894-09-01,7.190999999999999
1894-10-01,10.183
1894-11-01,11.755999999999998
1894-12-01,14.974
1895-01-01,15.599
1895-02-01,15.21
1895-03-01,12.889
1895-04-01,9.313
1895-05-01,7.5920000000000005
1895-06-01,5.711
1895-07-01,3.343
1895-08-01,5.244999999999999
1895-09-01,8.228
1895-10-01,9.557
1895-11-01,10.837
1895-12-01,14.648
1896-01-01,14.642
1896-02-01,14.273
1896-03-01,13.23
1896-04-01,10.338
1896-05-01,7.355
1896-06-01,5.88
1896-07-01,5.404
1896-08-01,5.558
1896-09-01,8.18
1896-10-01,8.724
1896-11-01,10.42
1896-12-01,14.343
1897-01-01,15.479
1897-02-01,14.915
1897-03-01,13.190999999999999
1897-04-01,10.49
1897-05-01,8.015
1897-06-01,5.745
1897-07-01,5.153
1897-08-01,5.489
1897-09-01,8.109
1897-10-01,9.025
1897-11-01,11.634
1897-12-01,12.554
1898-01-01,14.477
1898-02-01,12.687
1898-03-01,12.231
1898-04-01,10.732000000000001
1898-05-01,7.609
1898-06-01,5.689
1898-07-01,5.247999999999998
1898-08-01,5.471
1898-09-01,7.834
1898-10-01,9.335
1898-11-01,11.589
1898-12-01,14.166
1899-01-01,14.852
1899-02-01,14.002
1899-03-01,13.418
1899-04-01,11.285
1899-05-01,6.955
1899-06-01,5.8370000000000015
1899-07-01,3.736
1899-08-01,5.251
1899-09-01,8.091000000000001
1899-10-01,9.229
1899-11-01,11.303
1899-12-01,12.791
1900-01-01,13.733
1900-02-01,13.701
1900-03-01,13.95
1900-04-01,11.436
1900-05-01,7.852
1900-06-01,5.16
1900-07-01,5.186
1900-08-01,7.145
1900-09-01,7.858999999999999
1900-10-01,10.092
1900-11-01,10.916
1900-12-01,12.62
1901-01-01,13.757
1901-02-01,13.85
1901-03-01,12.116
1901-04-01,10.946
1901-05-01,7.822999999999999
1901-06-01,6.817
1901-07-01,3.844
1901-08-01,5.4499999999999975
1901-09-01,8.258
1901-10-01,10.103
1901-11-01,11.026
1901-12-01,12.457
1902-01-01,14.315999999999999
1902-02-01,14.415
1902-03-01,13.555
1902-04-01,10.157
1902-05-01,6.737
1902-06-01,5.766
1902-07-01,4.4239999999999995
1902-08-01,5.3210000000000015
1902-09-01,5.815999999999999
1902-10-01,8.190999999999999
1902-11-01,10.298
1902-12-01,11.198
1903-01-01,12.532
1903-02-01,14.075
1903-03-01,12.748
1903-04-01,10.098
1903-05-01,7.426
1903-06-01,4.6419999999999995
1903-07-01,4.984999999999999
1903-08-01,5.002
1903-09-01,7.424999999999999
1903-10-01,10.985
1903-11-01,12.784
1903-12-01,14.273
1904-01-01,14.636
1904-02-01,14.554
1904-03-01,12.890999999999998
1904-04-01,10.27
1904-05-01,7.994
1904-06-01,5.681
1904-07-01,5.012
1904-08-01,5.465
1904-09-01,7.491999999999999
1904-10-01,9.011
1904-11-01,10.697000000000001
1904-12-01,11.897
1905-01-01,12.815999999999999
1905-02-01,14.434
1905-03-01,13.467
1905-04-01,10.273
1905-05-01,7.834
1905-06-01,5.376
1905-07-01,5.039
1905-08-01,5.817
1905-09-01,7.451
1905-10-01,8.914
1905-11-01,11.258
1905-12-01,12.675
1906-01-01,12.933
1906-02-01,12.907
1906-03-01,12.14
1906-04-01,9.829
1906-05-01,7.497999999999998
1906-06-01,5.688
1906-07-01,5.417000000000002
1906-08-01,5.885999999999999
1906-09-01,7.51
1906-10-01,9.797
1906-11-01,10.735
1906-12-01,13.222
1907-01-01,14.913
1907-02-01,14.996
1907-03-01,14.29
1907-04-01,11.583
1907-05-01,7.6720000000000015
1907-06-01,5.172999999999999
1907-07-01,5.144
1907-08-01,6.0489999999999995
1907-09-01,7.419999999999999
1907-10-01,8.865
1907-11-01,12.212
1907-12-01,14.905
1908-01-01,15.136
1908-02-01,14.3
1908-03-01,13.667
1908-04-01,10.408
1908-05-01,8.286
1908-06-01,6.149
1908-07-01,4.199
1908-08-01,5.255
1908-09-01,8.517000000000001
1908-10-01,9.372
1908-11-01,11.602
1908-12-01,12.308
1909-01-01,13.327
1909-02-01,14.856
1909-03-01,14.062999999999999
1909-04-01,10.297
1909-05-01,8.663
1909-06-01,6.5470000000000015
1909-07-01,5.662999999999999
1909-08-01,6.69
1909-09-01,8.274
1909-10-01,9.851
1909-11-01,12.169
1909-12-01,14.672
1910-01-01,15.187
1910-02-01,15.899
1910-03-01,14.075
1910-04-01,9.844
1910-05-01,8.709
1910-06-01,6.371
1910-07-01,4.816
1910-08-01,6.624
1910-09-01,8.155999999999999
1910-10-01,10.527
1910-11-01,12.64
1910-12-01,13.741
1911-01-01,14.163
1911-02-01,14.414
1911-03-01,14.940999999999999
1911-04-01,12.749
1911-05-01,8.541
1911-06-01,6.079
1911-07-01,5.029
1911-08-01,6.778
1911-09-01,8.128
1911-10-01,9.541
1911-11-01,10.994000000000002
1911-12-01,11.728
1912-01-01,13.630999999999998
1912-02-01,13.047
1912-03-01,12.105
1912-04-01,10.588
1912-05-01,7.1450000000000005
1912-06-01,5.593
1912-07-01,5.119
1912-08-01,5.851999999999999
1912-09-01,8.658
1912-10-01,9.709
1912-11-01,11.343
1912-12-01,13.486
1913-01-01,14.886
1913-02-01,14.356
1913-03-01,13.977
1913-04-01,9.819
1913-05-01,6.146000000000001
1913-06-01,5.237
1913-07-01,5.9499999999999975
1913-08-01,6.476
1913-09-01,9.014
1913-10-01,10.35
1913-11-01,11.533
1913-12-01,12.509
1914-01-01,16.23
1914-02-01,14.966
1914-03-01,13.908
1914-04-01,11.049
1914-05-01,6.962999999999999
1914-06-01,5.439
1914-07-01,5.319999999999999
1914-08-01,6.0829999999999975
1914-09-01,8.097999999999999
1914-10-01,9.937
1914-11-01,11.085
1914-12-01,11.922
1915-01-01,14.96
1915-02-01,14.215
1915-03-01,12.409
1915-04-01,10.063
1915-05-01,7.921
1915-06-01,5.566
1915-07-01,6.206
1915-08-01,6.5120000000000005
1915-09-01,9.576
1915-10-01,11.035
1915-11-01,11.588
1915-12-01,13.73
1916-01-01,14.789
1916-02-01,16.39
1916-03-01,15.546
1916-04-01,11.597
1916-05-01,8.692
1916-06-01,7.314999999999999
1916-07-01,5.792000000000002
1916-08-01,6.141
1916-09-01,8.604999999999999
1916-10-01,9.924
1916-11-01,12.63
1916-12-01,14.951
1917-01-01,15.964
1917-02-01,14.637
1917-03-01,13.720999999999998
1917-04-01,11.757
1917-05-01,8.987
1917-06-01,6.22
1917-07-01,6.3229999999999995
1917-08-01,6.167000000000002
1917-09-01,8.963
1917-10-01,10.499
1917-11-01,12.338
1917-12-01,13.277
1918-01-01,15.029000000000002
1918-02-01,15.837
1918-03-01,13.687999999999999
1918-04-01,11.147
1918-05-01,8.171
1918-06-01,6.0729999999999995
1918-07-01,3.872
1918-08-01,6.087999999999999
1918-09-01,8.11
1918-10-01,10.02
1918-11-01,10.983
1918-12-01,12.154000000000002
1919-01-01,13.724
1919-02-01,15.202
1919-03-01,13.220999999999998
1919-04-01,10.156
1919-05-01,7.609
1919-06-01,5.999
1919-07-01,5.556
1919-08-01,6.59
1919-09-01,7.471999999999999
1919-10-01,9.914
1919-11-01,10.577
1919-12-01,12.519
1920-01-01,13.508
1920-02-01,15.262
1920-03-01,13.517999999999999
1920-04-01,11.133
1920-05-01,7.011
1920-06-01,6.082000000000002
1920-07-01,5.8839999999999995
1920-08-01,5.345
1920-09-01,7.642999999999999
1920-10-01,10.135
1920-11-01,11.079
1920-12-01,13.69
1921-01-01,14.635
1921-02-01,14.462
1921-03-01,13.392
1921-04-01,9.819
1921-05-01,8.399000000000001
1921-06-01,6.466
1921-07-01,5.5889999999999995
1921-08-01,6.393999999999999
1921-09-01,8.825999999999997
1921-10-01,10.299
1921-11-01,11.665
1921-12-01,13.2
1922-01-01,15.171
1922-02-01,15.573
1922-03-01,12.75
1922-04-01,10.765999999999998
1922-05-01,8.442
1922-06-01,5.0710000000000015
1922-07-01,5.047
1922-08-01,6.69
1922-09-01,8.235999999999999
1922-10-01,11.233
1922-11-01,11.720999999999998
1922-12-01,13.699000000000002
1923-01-01,15.241
1923-02-01,13.686
1923-03-01,12.511
1923-04-01,9.499
1923-05-01,8.274000000000001
1923-06-01,5.528
1923-07-01,4.630999999999999
1923-08-01,5.625
1923-09-01,8.588
1923-10-01,10.03
1923-11-01,13.192
1923-12-01,14.652
1924-01-01,15.716
1924-02-01,16.044999999999998
1924-03-01,14.569
1924-04-01,13.122
1924-05-01,8.335
1924-06-01,6.211
1924-07-01,5.26
1924-08-01,6.651
1924-09-01,9.364999999999998
1924-10-01,10.901
1924-11-01,12.682
1924-12-01,13.245
1925-01-01,14.999
1925-02-01,14.477
1925-03-01,12.652
1925-04-01,10.423
1925-05-01,7.914
1925-06-01,5.311
1925-07-01,5.702000000000001
1925-08-01,5.9979999999999976
1925-09-01,7.331999999999999
1925-10-01,10.151
1925-11-01,10.775
1925-12-01,13.273
1926-01-01,15.057
1926-02-01,13.35
1926-03-01,12.419
1926-04-01,11.864
1926-05-01,8.493
1926-06-01,5.78
1926-07-01,5.731
1926-08-01,6.343999999999999
1926-09-01,8.280999999999999
1926-10-01,10.107
1926-11-01,11.063
1926-12-01,12.945
1927-01-01,15.356
1927-02-01,15.53
1927-03-01,13.36
1927-04-01,9.836
1927-05-01,7.798999999999999
1927-06-01,4.669
1927-07-01,5.6739999999999995
1927-08-01,5.912000000000001
1927-09-01,8.399
1927-10-01,10.039
1927-11-01,10.997
1927-12-01,12.986
1928-01-01,15.267999999999999
1928-02-01,16.393
1928-03-01,14.952
1928-04-01,12.888
1928-05-01,9.298
1928-06-01,6.024
1928-07-01,6.327999999999999
1928-08-01,6.7860000000000005
1928-09-01,8.404
1928-10-01,10.298
1928-11-01,11.815
1928-12-01,13.648
1929-01-01,15.184
1929-02-01,14.671
1929-03-01,13.84
1929-04-01,10.775
1929-05-01,7.8889999999999985
1929-06-01,7.1129999999999995
1929-07-01,5.056
1929-08-01,6.202999999999999
1929-09-01,7.52
1929-10-01,10.065
1929-11-01,11.937000000000001
1929-12-01,12.992
1930-01-01,13.942
1930-02-01,14.536
1930-03-01,12.89
1930-04-01,10.935
1930-05-01,7.811
1930-06-01,5.465
1930-07-01,4.333
1930-08-01,6.476
1930-09-01,7.209
1930-10-01,8.791
1930-11-01,10.459
1930-12-01,13.125
1931-01-01,14.110999999999999
1931-02-01,13.229
1931-03-01,12.667
1931-04-01,10.518
1931-05-01,7.871
1931-06-01,5.26
1931-07-01,5.2589999999999995
1931-08-01,5.880999999999999
1931-09-01,6.9079999999999995
1931-10-01,10.129
1931-11-01,12.725
1931-12-01,13.605
1932-01-01,13.829
1932-02-01,14.353
1932-03-01,13.357
1932-04-01,11.28
1932-05-01,7.633999999999999
1932-06-01,5.702000000000001
1932-07-01,4.369
1932-08-01,5.271
1932-09-01,7.940999999999999
1932-10-01,10.706
1932-11-01,12.204
1932-12-01,13.488
1933-01-01,15.671
1933-02-01,15.694
1933-03-01,14.119000000000002
1933-04-01,10.852
1933-05-01,7.853
1933-06-01,5.048
1933-07-01,5.4
1933-08-01,6.3660000000000005
1933-09-01,8.526
1933-10-01,9.939
1933-11-01,11.53
1933-12-01,14.247
1934-01-01,13.707
1934-02-01,14.916
1934-03-01,12.962
1934-04-01,11.408
1934-05-01,7.676
1934-06-01,5.808
1934-07-01,4.754
1934-08-01,6.686999999999999
1934-09-01,8.549999999999999
1934-10-01,10.094
1934-11-01,13.337
1934-12-01,16.545
1935-01-01,17.012
1935-02-01,17.035999999999998
1935-03-01,14.671
1935-04-01,12.076
1935-05-01,7.729
1935-06-01,5.877999999999999
1935-07-01,5.1
1935-08-01,6.5920000000000005
1935-09-01,6.936999999999999
1935-10-01,10.314
1935-11-01,10.699000000000002
1935-12-01,15.618
1936-01-01,15.412
1936-02-01,14.747
1936-03-01,12.081
1936-04-01,11.748
1936-05-01,7.2840000000000025
1936-06-01,5.837999999999999
1936-07-01,4.931
1936-08-01,7.31
1936-09-01,7.935999999999999
1936-10-01,11.045
1936-11-01,12.014000000000001
1936-12-01,12.872
1937-01-01,14.148
1937-02-01,13.058
1937-03-01,13.306
1937-04-01,10.213
1937-05-01,8.291
1937-06-01,4.782
1937-07-01,4.766
1937-08-01,6.7319999999999975
1937-09-01,8.059
1937-10-01,9.436
1937-11-01,12.418
1937-12-01,14.987
1938-01-01,16.179000000000002
1938-02-01,17.689999999999994
1938-03-01,15.373
1938-04-01,13.718
1938-05-01,9.576
1938-06-01,6.15
1938-07-01,4.55
1938-08-01,6.7319999999999975
1938-09-01,8.455
1938-10-01,10.587
1938-11-01,12.682
1938-12-01,12.877
1939-01-01,13.252
1939-02-01,14.198
1939-03-01,13.892999999999999
1939-04-01,11.272
1939-05-01,8.617
1939-06-01,7.184
1939-07-01,3.7889999999999997
1939-08-01,6.004
1939-09-01,8.234
1939-10-01,9.572
1939-11-01,12.205
1939-12-01,14.43
1940-01-01,15.819
1940-02-01,14.087
1940-03-01,12.548
1940-04-01,9.389
1940-05-01,7.254
1940-06-01,5.846
1940-07-01,5.254
1940-08-01,7.06
1940-09-01,8.724
1940-10-01,9.909
1940-11-01,11.288
1940-12-01,14.709
1941-01-01,15.904000000000002
1941-02-01,15.215
1941-03-01,14.477
1941-04-01,9.77
1941-05-01,8.286
1941-06-01,4.718999999999999
1941-07-01,5.318
1941-08-01,5.505999999999999
1941-09-01,8.257
1941-10-01,9.246
1941-11-01,11.567
1941-12-01,13.251
1942-01-01,14.034
1942-02-01,14.416
1942-03-01,13.377
1942-04-01,11.255999999999998
1942-05-01,8.655
1942-06-01,6.341
1942-07-01,5.9179999999999975
1942-08-01,6.93
1942-09-01,8.783999999999999
1942-10-01,10.895
1942-11-01,12.168
1942-12-01,13.08
1943-01-01,15.041
1943-02-01,15.017
1943-03-01,12.786
1943-04-01,11.111
1943-05-01,7.309
1943-06-01,6.254
1943-07-01,4.881
1943-08-01,5.399
1943-09-01,7.919
1943-10-01,9.535
1943-11-01,12.46
1943-12-01,14.699000000000002
1944-01-01,15.546
1944-02-01,15.412
1944-03-01,13.802
1944-04-01,11.866
1944-05-01,7.695
1944-06-01,5.5870000000000015
1944-07-01,5.597
1944-08-01,6.093999999999999
1944-09-01,7.8969999999999985
1944-10-01,10.02
1944-11-01,11.845
1944-12-01,12.775
1945-01-01,15.574000000000002
1945-02-01,15.444
1945-03-01,13.113
1945-04-01,10.901
1945-05-01,7.348
1945-06-01,4.865
1945-07-01,4.489
1945-08-01,7.521
1945-09-01,8.328
1945-10-01,8.666
1945-11-01,12.597
1945-12-01,11.863
1946-01-01,14.31
1946-02-01,15.136
1946-03-01,13.985999999999999
1946-04-01,11.353
1946-05-01,8.976
1946-06-01,6.38
1946-07-01,6.439
1946-08-01,6.705
1946-09-01,8.540999999999999
1946-10-01,9.377
1946-11-01,9.611
1946-12-01,12.54
1947-01-01,13.809
1947-02-01,14.439
1947-03-01,13.800999999999998
1947-04-01,10.889000000000001
1947-05-01,8.422
1947-06-01,6.1129999999999995
1947-07-01,5.699
1947-08-01,6.9499999999999975
1947-09-01,8.742999999999999
1947-10-01,10.072
1947-11-01,12.26
1947-12-01,14.509
1948-01-01,16.090999999999998
1948-02-01,15.168
1948-03-01,14.367
1948-04-01,11.152000000000001
1948-05-01,8.722999999999999
1948-06-01,5.829
1948-07-01,6.4179999999999975
1948-08-01,6.71
1948-09-01,8.931999999999997
1948-10-01,10.009
1948-11-01,11.722
1948-12-01,13.866
1949-01-01,14.193
1949-02-01,16.23
1949-03-01,13.099
1949-04-01,9.584
1949-05-01,8.136000000000001
1949-06-01,6.5089999999999995
1949-07-01,6.771999999999999
1949-08-01,6.4259999999999975
1949-09-01,7.997000000000001
1949-10-01,11.291
1949-11-01,11.985
1949-12-01,13.354
1950-01-01,15.277
1950-02-01,14.505
1950-03-01,13.068
1950-04-01,10.505
